checkpoint_num,checkpoint_path,avg_reward,avg_steps,survived_episodes,total_episodes,log_file,success,survival_rate
39,/workspace/checkpoints_heuristic/alphazero_v2_train39.pt,3723.7,,,,/workspace/logs/eval_checkpoint_39.log,True,
40,/workspace/checkpoints_heuristic/alphazero_v2_train40.pt,3417.66,,,,/workspace/logs/eval_checkpoint_40.log,True,
41,/workspace/checkpoints_heuristic/alphazero_v2_train41.pt,3466.41,,,,/workspace/logs/eval_checkpoint_41.log,True,
42,/workspace/checkpoints_heuristic/alphazero_v2_train42.pt,3484.71,,,,/workspace/logs/eval_checkpoint_42.log,True,
43,/workspace/checkpoints_heuristic/alphazero_v2_train43.pt,3623.01,,,,/workspace/logs/eval_checkpoint_43.log,True,
44,/workspace/checkpoints_heuristic/alphazero_v2_train44.pt,3447.03,,,,/workspace/logs/eval_checkpoint_44.log,True,
45,/workspace/checkpoints_heuristic/alphazero_v2_train45.pt,3814.65,,,,/workspace/logs/eval_checkpoint_45.log,True,
46,/workspace/checkpoints_heuristic/alphazero_v2_train46.pt,3916.56,,,,/workspace/logs/eval_checkpoint_46.log,True,
47,/workspace/checkpoints_heuristic/alphazero_v2_train47.pt,3417.13,,,,/workspace/logs/eval_checkpoint_47.log,True,
48,/workspace/checkpoints_heuristic/alphazero_v2_train48.pt,3804.99,,,,/workspace/logs/eval_checkpoint_48.log,True,
49,/workspace/checkpoints_heuristic/alphazero_v2_train49.pt,4081.51,,,,/workspace/logs/eval_checkpoint_49.log,True,
