number,value,datetime_start,datetime_complete,duration,params_critical_threshold,params_depth_bonus,params_dirichlet_alpha,params_dirichlet_epsilon,params_learning_rate,params_mcts_simulations,params_penalty_for_failure,params_policy_target_method,params_policy_weight,params_puct_c,params_replay_buffer_size,params_selection_bias_weight,params_temperature,params_temperature_decay,params_training_epochs,params_use_depth_bonus,params_use_virtual_loss,params_value_weight,params_virtual_loss_weight,state
0,-538.1,2025-11-29 20:16:29.336951,2025-11-30 14:47:54.044222,0 days 18:31:24.707271,0.9781797127837247,0.027612035993472492,0.14495367083504626,0.12121244309724118,3.4386827790882735e-05,900,-4.582173069891176,visits_with_selection_bias,3.453335281072787,1.4741374616335587,30,0.011373170631687857,0.9460902140156389,0.9542477671527608,3,True,False,1.324980418816259,,COMPLETE
1,-546.4,2025-11-29 20:16:29.338887,2025-11-30 14:23:28.818645,0 days 18:06:59.479758,0.9719645406339983,,0.8764546487626168,0.46142011393679294,4.504641127417218e-05,500,-1.158987435017167,visits,2.731076307989799,2.825429577140609,90,,1.7758919180585795,0.9521114168729812,3,False,True,1.6847031483005153,0.9619270734649605,COMPLETE
2,-550.9,2025-11-29 20:16:29.373141,2025-11-30 05:08:51.231211,0 days 08:52:21.858070,0.9576300994113471,0.09195397027127444,0.8340110980188246,0.2938792167422628,0.00027601273865045765,100,-4.697640114991757,visits_with_selection_bias,3.730501747670453,1.592248288056655,120,0.20885628451728888,1.48900337121693,0.9459001174873336,1,True,False,1.594721482543271,,COMPLETE
3,-795.5,2025-11-29 20:16:29.386676,2025-12-01 04:51:20.753736,1 days 08:34:51.367060,0.9698997666462678,0.17216065370182193,0.42583010160821144,0.20916773241371273,0.0008597264381747485,1000,-1.0400161638934016,visits_with_selection_bias,1.438109021764154,2.5768236736021137,60,0.6034147912601382,2.333034793233308,0.9640156937712608,4,True,True,2.465663002843347,0.7620546643375485,COMPLETE
4,-538.8,2025-11-29 20:16:29.410845,2025-11-30 14:14:23.626564,0 days 17:57:54.215719,0.9664662981364723,,0.24639962717304825,0.2318301024244971,2.102671438185887e-05,1000,-6.705746068231863,visits_with_selection_bias,0.7619250714888945,1.4663054001817262,30,0.44858050562233764,0.5189697133027633,0.939602415244892,1,False,False,2.0857180666648536,,COMPLETE
5,-581.0,2025-11-29 20:16:29.424286,2025-11-30 08:05:23.636437,0 days 11:48:54.212151,0.9824585477175553,0.013915464175709116,0.8052700255581703,0.4629244173955014,0.0001377124562012763,500,-8.218850458545804,visits,1.1666203981395025,1.4831170067783712,90,,0.8275992890157322,0.9624426387768822,1,True,True,0.8445032513485267,0.8257111151840381,COMPLETE
6,-550.9,2025-11-29 20:16:29.438186,2025-11-30 05:08:39.936304,0 days 08:52:10.498118,0.9613592875821223,0.049309943892011925,0.2800577545524342,0.3365969138728705,5.489488168228494e-05,100,-3.669049204896215,visits_with_selection_bias,1.2841173833351458,2.2218368446448427,60,0.5708397171529342,0.7507581959511505,0.9447366560646542,1,True,False,1.6667812226730088,,COMPLETE
7,-897.7,2025-11-29 20:16:29.452426,2025-11-30 07:51:07.480198,0 days 11:34:38.027772,0.9503270765267539,0.10124811474642374,0.9601224929825993,0.23294937970785026,0.0003130674822370826,100,-7.284067139741528,visits_with_selection_bias,1.4994101181840211,1.6550840672188918,60,0.39585092850072057,1.0924998491838407,0.9887642443153445,5,True,False,2.7758594909097276,,COMPLETE
8,-536.3,2025-11-29 20:16:29.359562,2025-11-30 05:19:44.045661,0 days 09:03:14.686099,0.9747779741345346,,0.7263830336893399,0.3227787619507767,1.2756301119432277e-05,300,-7.050821367065287,visits_with_selection_bias,3.7418711007419883,2.1627117626452805,30,0.8905827147852585,1.0052022679885577,0.9553131075490491,5,False,True,2.115629298162246,0.7805668548109097,COMPLETE
9,-971.9,2025-11-29 20:16:29.476949,2025-11-30 04:16:48.017267,0 days 08:00:18.540318,0.9830751131337444,0.031118318704477593,0.7804248367853246,0.4737625661845656,6.062487581382581e-05,200,-7.087121756580354,visits_with_selection_bias,1.1862812870873771,1.8879089654565706,30,0.33579094604098314,0.5934726816319995,0.9193724139588703,5,True,True,2.9707330016711775,0.6047376604134804,COMPLETE
